YearStart,YearEnd,LocationAbbr,Question,DataValueType,DataValue,DataValueAlt,StratificationCategory1,Stratification1,LocationID,StratificationCategoryID1,StratificationID1
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,57,57,Race/Ethnicity,"White, non-Hispanic",11,RACE,WHT
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,2023,2023,Race/Ethnicity,"White, non-Hispanic",8,RACE,WHT
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,8481,8481,Gender,Female,6,GENDER,GENF
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,3,3,Race/Ethnicity,American Indian or Alaska Native,9,RACE,AIAO
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2408,2408,Race/Ethnicity,Asian or Pacific Islander,6,RACE,APIO
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,1292,1292,Gender,Male,9,GENDER,GENM
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,412,412,Gender,Female,10,GENDER,GENF
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,79,79,Race/Ethnicity,"Black, non-Hispanic",8,RACE,BLK
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,373,373,Overall,Overall,2,OVERALL,OVR
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,4009,4009,Overall,Overall,4,OVERALL,OVR
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,American Indian or Alaska Native,10,RACE,AIAO
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,9,9,Race/Ethnicity,"Black, non-Hispanic",2,RACE,BLK
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,68,68,Race/Ethnicity,Asian or Pacific Islander,4,RACE,APIO
2015,2019,FL,"Cancer of the lung and bronchus, incidence",Average Annual Number,1358,1358,Race/Ethnicity,"Black, non-Hispanic",12,RACE,BLK
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,2407,2407,Overall,Overall,8,OVERALL,OVR
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,299,299,Overall,Overall,11,OVERALL,OVR
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,1302,1302,Gender,Female,5,GENDER,GENF
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,11,11,Race/Ethnicity,Hispanic,10,RACE,HIS
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,256,256,Race/Ethnicity,"White, non-Hispanic",2,RACE,WHT
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,54,54,Race/Ethnicity,Asian or Pacific Islander,8,RACE,APIO
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,32,32,Race/Ethnicity,Asian or Pacific Islander,9,RACE,APIO
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,16,16,Race/Ethnicity,Hispanic,1,RACE,HIS
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,201,201,Gender,Male,2,GENDER,GENM
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,141,141,Gender,Male,11,GENDER,GENM
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,1271,1271,Race/Ethnicity,"Black, non-Hispanic",6,RACE,BLK
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,1160,1160,Gender,Male,8,GENDER,GENM
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,203,203,Race/Ethnicity,"Black, non-Hispanic",9,RACE,BLK
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,2927,2927,Overall,Overall,5,OVERALL,OVR
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,1247,1247,Gender,Female,8,GENDER,GENF
2015,2019,FL,"Cancer of the lung and bronchus, incidence",Average Annual Number,28,28,Race/Ethnicity,American Indian or Alaska Native,12,RACE,AIAO
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,10973,10973,Race/Ethnicity,"White, non-Hispanic",6,RACE,WHT
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,2337,2337,Race/Ethnicity,"White, non-Hispanic",9,RACE,WHT
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,228,228,Race/Ethnicity,"Black, non-Hispanic",11,RACE,BLK
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,825,825,Overall,Overall,10,OVERALL,OVR
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,1986,1986,Gender,Female,4,GENDER,GENF
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,,,Race/Ethnicity,American Indian or Alaska Native,11,RACE,AIAO
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,1720,1720,Gender,Female,1,GENDER,GENF
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,16905,16905,Overall,Overall,6,OVERALL,OVR
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,2700,2700,Overall,Overall,9,OVERALL,OVR
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,17,17,Race/Ethnicity,American Indian or Alaska Native,8,RACE,AIAO
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,753,753,Race/Ethnicity,"Black, non-Hispanic",1,RACE,BLK
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,158,158,Gender,Female,11,GENDER,GENF
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,124,124,Race/Ethnicity,"Black, non-Hispanic",4,RACE,BLK
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,7,7,Race/Ethnicity,Hispanic,2,RACE,HIS
2015,2019,DE,"Cancer of the lung and bronchus, incidence",Average Annual Number,413,413,Gender,Male,10,GENDER,GENM
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,3420,3420,Race/Ethnicity,"White, non-Hispanic",4,RACE,WHT
2015,2019,FL,"Cancer of the lung and bronchus, incidence",Average Annual Number,178,178,Race/Ethnicity,Asian or Pacific Islander,12,RACE,APIO
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,7,7,Race/Ethnicity,American Indian or Alaska Native,1,RACE,AIAO
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,18,18,Race/Ethnicity,Asian or Pacific Islander,5,RACE,APIO
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,2189,2189,Race/Ethnicity,Hispanic,6,RACE,HIS
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,2259,2259,Gender,Male,1,GENDER,GENM
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,18,18,Race/Ethnicity,Asian or Pacific Islander,2,RACE,APIO
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,7,7,Race/Ethnicity,Hispanic,11,RACE,HIS
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,173,173,Gender,Female,2,GENDER,GENF
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,1626,1626,Gender,Male,5,GENDER,GENM
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,350,350,Race/Ethnicity,Hispanic,4,RACE,HIS
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,39,39,Race/Ethnicity,American Indian or Alaska Native,4,RACE,AIAO
2015,2019,CT,"Cancer of the lung and bronchus, incidence",Average Annual Number,1409,1409,Gender,Female,9,GENDER,GENF
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,2500,2500,Race/Ethnicity,"White, non-Hispanic",5,RACE,WHT
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,3980,3980,Overall,Overall,1,OVERALL,OVR
2015,2019,DC,"Cancer of the lung and bronchus, incidence",Average Annual Number,6,6,Race/Ethnicity,Asian or Pacific Islander,11,RACE,APIO
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,338,338,Race/Ethnicity,"Black, non-Hispanic",5,RACE,BLK
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,21,21,Race/Ethnicity,Asian or Pacific Islander,1,RACE,APIO
2015,2019,AL,"Cancer of the lung and bronchus, incidence",Average Annual Number,3173,3173,Race/Ethnicity,"White, non-Hispanic",1,RACE,WHT
2015,2019,AZ,"Cancer of the lung and bronchus, incidence",Average Annual Number,2023,2023,Gender,Male,4,GENDER,GENM
2015,2019,CO,"Cancer of the lung and bronchus, incidence",Average Annual Number,228,228,Race/Ethnicity,Hispanic,8,RACE,HIS
2015,2019,AR,"Cancer of the lung and bronchus, incidence",Average Annual Number,35,35,Race/Ethnicity,Hispanic,5,RACE,HIS
2015,2019,AK,"Cancer of the lung and bronchus, incidence",Average Annual Number,85,85,Race/Ethnicity,American Indian or Alaska Native,2,RACE,AIAO
2015,2019,CA,"Cancer of the lung and bronchus, incidence",Average Annual Number,8424,8424,Gender,Male,6,GENDER,GENM
